Year,Nominal Price,Inflation Adjusted Price
1946,$1.63,$20.12
1947,$2.16,$23.65
1948,$2.77,$28.21
1949,$2.77,$28.48
1950,$2.77,$28.19
1951,$2.77,$26.12
1952,$2.77,$25.54
1953,$2.92,$26.66
1954,$2.99,$27.26
1955,$2.93,$26.74
1956,$2.94,$26.50
1957,$3.14,$27.34
1958,$3.00,$25.45
1959,$3.00,$25.19
1960,$2.91,$24.11
1961,$2.85,$23.34
1962,$2.85,$23.06
1963,$2.91,$23.28
1964,$3.00,$23.68
1965,$3.01,$23.37
1966,$3.10,$23.38
1967,$3.12,$22.90
1968,$3.18,$22.35
1969,$3.32,$22.16
1970,$3.39,$21.38
1971,$3.60,$21.77
1972,$3.60,$21.08
1973,$4.75,$25.97
1974,$9.35,$46.35
1975,$12.21,$55.51
1976,$13.10,$56.36
1977,$14.40,$58.13
1978,$14.95,$56.14
1979,$25.10,$83.86
1980,$37.42,$111.30
1981,$35.75,$96.38
1982,$31.83,$80.80
1983,$29.08,$71.49
1984,$28.75,$67.76
1985,$26.92,$61.26
1986,$14.44,$32.24
1987,$17.75,$38.24
1988,$14.87,$30.82
1989,$18.33,$36.18
1990,$23.19,$43.32
1991,$20.20,$36.31
1992,$19.25,$33.58
1993,$16.75,$28.39
1994,$15.66,$25.86
1995,$16.75,$26.91
1996,$20.46,$31.91
1997,$18.64,$28.43
1998,$11.91,$17.89
1999,$16.56,$24.28
2000,$27.39,$38.92
2001,$23.00,$31.81
2002,$22.81,$31.02
2003,$27.69,$36.85
2004,$37.66,$48.77
2005,$50.04,$62.66
2006,$58.30,$70.77
2007,$64.20,$75.66
2008,$91.48,$103.67
2009,$53.48,$60.91
2010,$71.21,$79.93
2011,$87.04,$94.73
2012,$86.46,$92.20
2013,$91.17,$95.79
2014,$85.60,$88.47
2015,$41.85,$43.22
2016,$36.34,$37.02
2017,$42.74,$42.63
