#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-03-27 08:03:45 EDT      (caww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 03451000 SWANNANOA RIVER AT BILTMORE, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		87915	
#
# Data heading explanations.
# begin_yr_dt ... First complete year of data of daily mean values for this day.
# end_yr_dt   ... Last complete year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	03451000	00060	87915	1	1	1921	2017	89	1923	1320	1926	37.0	202	40	46	70	79	139	210	250	456	751
USGS	03451000	00060	87915	1	2	1921	2017	89	1937	1320	1940	36.0	185	41	57	72	82	138	219	243	324	558
USGS	03451000	00060	87915	1	3	1921	2017	89	1937	1780	1956	35.0	191	41	48	75	83	150	235	254	280	528
USGS	03451000	00060	87915	1	4	1921	2017	89	1937	885	1956	35.0	170	40	49	70	81	140	203	226	299	480
USGS	03451000	00060	87915	1	5	1921	2017	89	1937	632	1956	32.0	158	40	42	75	83	134	190	202	289	410
USGS	03451000	00060	87915	1	6	1921	2017	89	1946	964	1956	31.0	177	41	48	76	90	138	179	234	372	535
USGS	03451000	00060	87915	1	7	1921	2017	89	1946	1670	1955	34.0	186	39	48	73	82	132	187	215	365	559
USGS	03451000	00060	87915	1	8	1921	2017	89	1998	2770	1956	30.0	214	42	46	71	74	133	181	275	417	573
USGS	03451000	00060	87915	1	9	1921	2017	89	1935	1710	1956	25.0	191	41	50	69	79	127	210	283	365	679
USGS	03451000	00060	87915	1	10	1921	2017	89	1953	837	1956	30.0	175	41	57	64	75	124	246	258	351	490
USGS	03451000	00060	87915	1	11	1921	2017	89	1924	1460	1956	35.0	188	42	52	66	78	128	226	287	401	530
USGS	03451000	00060	87915	1	12	1921	2017	89	1946	548	1954	25.0	169	41	55	64	76	125	238	272	332	445
USGS	03451000	00060	87915	1	13	1921	2017	89	1975	560	1954	15.0	157	41	49	60	75	127	197	239	308	417
